clinician_id,signup_date,specialty,state,ehr_system,practice_size,org_type,annual_patient_volume,converted_to_enterprise,conversion_date
CLN_00065,2024-05-09,Internal Medicine,CA,Allscripts,Solo,Academic Medical Center,212,0,
CLN_00066,2024-10-05,Endocrinology,OK,Practice Fusion,Small (2-10),Hospital System,1195,0,
CLN_00067,2025-10-28,Psychiatry,VA,Epic,Solo,Multi-Specialty Group,117,0,
CLN_00068,2024-09-08,Primary Care,TX,None,Medium (11-50),Multi-Specialty Group,5207,0,
CLN_00069,2024-05-02,Psychiatry,AZ,Other,Enterprise (200+),Telehealth-Native,102621,0,
CLN_00070,2025-12-23,Psychiatry,MD,Athenahealth,Medium (11-50),Academic Medical Center,7192,0,
CLN_00071,2025-12-05,Psychiatry,LA,eClinicalWorks,Large (51-200),Urgent Care Chain,21120,0,
CLN_00072,2025-10-14,Gynecology,KY,Epic,Small (2-10),Private Practice,1443,0,
CLN_00073,2025-05-02,Internal Medicine,IL,Cerner,Medium (11-50),Academic Medical Center,8267,0,
CLN_00074,2024-04-06,Psychiatry,KY,Allscripts,Solo,FQHC,529,0,
CLN_00075,2026-03-18,Neurology,TN,Epic,Large (51-200),Multi-Specialty Group,12635,0,
CLN_00076,2024-11-14,Cardiology,CA,Epic,Solo,Academic Medical Center,223,0,
CLN_00077,2024-01-12,Gynecology,CO,Epic,Medium (11-50),Telehealth-Native,7265,0,
CLN_00078,2025-08-29,Dermatology,MA,Epic,Solo,Academic Medical Center,121,1,2026-01-09
CLN_00079,2026-05-02,Psychiatry,TN,Athenahealth,Small (2-10),Urgent Care Chain,1276,0,
CLN_00080,2025-07-23,Psychiatry,MN,Cerner,Solo,Hospital System,159,0,
CLN_00081,2025-05-10,Pediatrics,AZ,Epic,Small (2-10),Multi-Specialty Group,3616,1,2026-01-21
CLN_00082,2026-01-09,Psychiatry,IN,DrChrono,Medium (11-50),Academic Medical Center,9000,0,
CLN_00083,2025-03-25,Oncology,TN,None,Solo,Urgent Care Chain,157,0,
CLN_00084,2024-05-09,Internal Medicine,TN,Allscripts,Small (2-10),Urgent Care Chain,776,0,
CLN_00085,2025-10-07,Cardiology,GA,None,Large (51-200),FQHC,13888,1,2026-01-24
CLN_00086,2024-09-28,Psychiatry,OH,Epic,Small (2-10),Telehealth-Native,1790,0,
CLN_00087,2025-12-19,Urology,NJ,Practice Fusion,Medium (11-50),Urgent Care Chain,6019,1,2026-08-25
CLN_00088,2026-04-08,Pediatrics,WA,eClinicalWorks,Large (51-200),Telehealth-Native,13247,0,
CLN_00089,2024-12-29,Primary Care,TN,Epic,Medium (11-50),Telehealth-Native,7417,0,
CLN_00090,2024-09-05,Primary Care,VA,Athenahealth,Small (2-10),Multi-Specialty Group,1858,0,
CLN_00091,2025-11-11,Primary Care,CO,Practice Fusion,Medium (11-50),Private Practice,3992,0,
CLN_00092,2025-05-24,Oncology,UT,Epic,Small (2-10),Academic Medical Center,1380,0,
CLN_00093,2024-08-04,Endocrinology,AZ,eClinicalWorks,Solo,Hospital System,318,0,
CLN_00094,2025-01-18,Dermatology,GA,Epic,Small (2-10),Academic Medical Center,2794,0,
CLN_00095,2024-02-08,Primary Care,TN,None,Small (2-10),FQHC,1300,0,
CLN_00096,2026-03-04,Cardiology,CT,eClinicalWorks,Medium (11-50),Academic Medical Center,4807,0,
CLN_00097,2024-01-06,Urology,GA,Epic,Small (2-10),Telehealth-Native,517,0,
CLN_00098,2026-02-11,Pediatrics,OR,Cerner,Small (2-10),FQHC,1861,0,
CLN_00099,2024-04-06,Urology,CT,Athenahealth,Solo,FQHC,344,0,
CLN_00100,2023-12-24,Internal Medicine,MO,Practice Fusion,Small (2-10),FQHC,1719,0,
CLN_00101,2026-04-06,Primary Care,AZ,eClinicalWorks,Small (2-10),Multi-Specialty Group,3332,0,
CLN_00102,2025-02-28,Orthopedics,OR,Cerner,Enterprise (200+),Telehealth-Native,123855,0,
CLN_00103,2024-06-21,Neurology,GA,Other,Enterprise (200+),Private Practice,219541,0,
CLN_00104,2024-08-18,Pediatrics,LA,Athenahealth,Enterprise (200+),FQHC,129086,0,
CLN_00105,2024-06-23,Psychiatry,MO,Other,Small (2-10),Hospital System,2792,0,
CLN_00106,2025-01-26,Neurology,NJ,Epic,Small (2-10),Private Practice,581,0,
CLN_00107,2025-05-21,Primary Care,FL,Epic,Medium (11-50),Telehealth-Native,3874,0,
CLN_00108,2024-08-21,Dermatology,UT,Athenahealth,Medium (11-50),Urgent Care Chain,3286,0,
CLN_00109,2025-10-06,Dermatology,KY,Other,Solo,Telehealth-Native,171,0,
CLN_00110,2024-11-23,Gynecology,LA,Other,Solo,Telehealth-Native,344,0,
CLN_00111,2025-09-30,Internal Medicine,OH,Epic,Small (2-10),Academic Medical Center,1649,0,
CLN_00112,2024-05-05,Psychiatry,AZ,Athenahealth,Medium (11-50),Academic Medical Center,2834,1,2025-05-28
CLN_00113,2025-03-04,Pediatrics,IL,Practice Fusion,Small (2-10),Private Practice,2868,0,
CLN_00114,2024-10-07,Primary Care,WI,Epic,Solo,Private Practice,249,0,
CLN_00115,2024-05-02,Gynecology,TX,None,Enterprise (200+),Academic Medical Center,87835,0,
CLN_00116,2024-11-25,Internal Medicine,MI,Epic,Small (2-10),Telehealth-Native,536,0,
CLN_00117,2025-04-02,Psychiatry,AZ,eClinicalWorks,Small (2-10),Academic Medical Center,4325,0,
CLN_00118,2025-11-25,Neurology,MN,Epic,Small (2-10),Multi-Specialty Group,2022,0,
CLN_00119,2025-12-22,Oncology,UT,Cerner,Small (2-10),FQHC,1009,0,
CLN_00120,2025-01-07,Primary Care,NC,Practice Fusion,Solo,Urgent Care Chain,311,0,
CLN_00121,2025-01-19,Endocrinology,IN,None,Solo,Urgent Care Chain,281,0,
CLN_00122,2025-11-27,Pediatrics,OK,DrChrono,Medium (11-50),Academic Medical Center,4850,0,
CLN_00123,2025-04-03,Endocrinology,PA,None,Large (51-200),Multi-Specialty Group,22574,0,
CLN_00124,2025-01-11,Pediatrics,NC,Epic,Small (2-10),Telehealth-Native,1410,0,
CLN_00125,2024-04-21,Primary Care,LA,Cerner,Small (2-10),Urgent Care Chain,547,0,
CLN_00126,2024-06-09,Cardiology,MI,Cerner,Small (2-10),Telehealth-Native,296,0,
CLN_00127,2025-05-21,Primary Care,MD,Practice Fusion,Medium (11-50),Academic Medical Center,7346,0,
CLN_00128,2024-02-26,Gynecology,LA,Epic,Solo,Private Practice,348,0,
CLN_00129,2026-01-21,Internal Medicine,AL,Athenahealth,Medium (11-50),Telehealth-Native,3787,0,
CLN_00130,2024-02-06,Internal Medicine,LA,Epic,Small (2-10),Multi-Specialty Group,720,0,
CLN_00131,2025-03-13,Psychiatry,WI,Cerner,Solo,Telehealth-Native,239,0,
CLN_00132,2024-02-04,Primary Care,AZ,Athenahealth,Small (2-10),Multi-Specialty Group,931,0,
CLN_00133,2024-08-09,Internal Medicine,WA,Athenahealth,Small (2-10),Hospital System,1571,0,
CLN_00134,2026-02-05,Gynecology,MI,Epic,Solo,Urgent Care Chain,163,0,
CLN_00135,2025-02-22,Primary Care,MO,Cerner,Small (2-10),Urgent Care Chain,1481,0,
CLN_00136,2024-07-14,Pediatrics,CO,Allscripts,Small (2-10),Urgent Care Chain,1510,0,
CLN_00137,2024-07-31,Primary Care,PA,Cerner,Solo,Telehealth-Native,200,0,
CLN_00138,2025-09-12,Endocrinology,LA,eClinicalWorks,Solo,Telehealth-Native,396,0,
CLN_00139,2025-12-06,Endocrinology,OH,Athenahealth,Medium (11-50),FQHC,5545,0,
CLN_00140,2024-03-25,Primary Care,FL,Athenahealth,Small (2-10),Urgent Care Chain,1495,0,
CLN_00141,2025-05-08,Dermatology,OK,eClinicalWorks,Solo,Multi-Specialty Group,574,0,
CLN_00142,2024-08-06,Pediatrics,WA,None,Solo,Telehealth-Native,109,0,
CLN_00143,2025-01-09,Psychiatry,GA,eClinicalWorks,Small (2-10),Multi-Specialty Group,1311,0,
CLN_00144,2024-12-07,Internal Medicine,UT,Allscripts,Medium (11-50),Multi-Specialty Group,14061,0,
CLN_00145,2025-04-13,Dermatology,NY,Cerner,Medium (11-50),Urgent Care Chain,4146,0,
CLN_00146,2025-07-16,Psychiatry,OH,Epic,Medium (11-50),Multi-Specialty Group,5198,0,
CLN_00147,2024-01-03,Pediatrics,OR,Epic,Small (2-10),Private Practice,946,0,
CLN_00148,2025-06-27,Orthopedics,LA,Epic,Small (2-10),Multi-Specialty Group,1073,0,
CLN_00149,2025-09-03,Psychiatry,TX,Cerner,Solo,Private Practice,113,0,
CLN_00150,2024-07-01,Psychiatry,FL,Allscripts,Solo,Telehealth-Native,322,0,
CLN_00151,2025-05-18,Urology,MN,Cerner,Large (51-200),Telehealth-Native,81290,0,
CLN_00152,2025-02-17,Neurology,MN,eClinicalWorks,Solo,Urgent Care Chain,256,0,
CLN_00153,2024-10-09,Dermatology,VA,Epic,Small (2-10),Hospital System,1250,0,
CLN_00154,2024-11-26,Pediatrics,MO,eClinicalWorks,Solo,Academic Medical Center,321,1,2025-11-01
CLN_00155,2025-05-13,Primary Care,CA,Allscripts,Solo,Private Practice,269,1,2025-12-01
CLN_00156,2024-01-09,Psychiatry,NC,Cerner,Small (2-10),Telehealth-Native,992,0,
CLN_00157,2025-12-16,Cardiology,AZ,Epic,Medium (11-50),Multi-Specialty Group,4609,1,2026-02-02
CLN_00158,2026-01-05,Oncology,TX,Epic,Medium (11-50),Private Practice,9015,0,
CLN_00159,2025-04-14,Psychiatry,WA,Other,Small (2-10),Telehealth-Native,3615,0,
CLN_00160,2025-01-25,Psychiatry,MI,Epic,Large (51-200),Hospital System,25084,0,
CLN_00161,2024-07-28,Primary Care,MO,eClinicalWorks,Solo,FQHC,241,0,
CLN_00162,2026-01-27,Neurology,TX,Epic,Small (2-10),Multi-Specialty Group,1905,0,
CLN_00163,2025-08-18,Psychiatry,NJ,Epic,Small (2-10),Private Practice,2608,0,
CLN_00164,2024-08-23,Internal Medicine,LA,Other,Small (2-10),Telehealth-Native,2270,0,
CLN_00165,2024-11-05,Internal Medicine,TX,Cerner,Small (2-10),Academic Medical Center,964,0,
CLN_00166,2025-01-15,Primary Care,NY,Athenahealth,Solo,Telehealth-Native,249,0,
CLN_00167,2025-08-15,Psychiatry,SC,eClinicalWorks,Large (51-200),Academic Medical Center,21486,1,2025-12-06
CLN_00168,2026-01-23,Neurology,MD,Cerner,Solo,Multi-Specialty Group,113,0,
CLN_00169,2024-03-17,Psychiatry,OK,Athenahealth,Small (2-10),Academic Medical Center,1425,0,
CLN_00170,2024-02-05,Primary Care,MA,Practice Fusion,Solo,Academic Medical Center,492,0,
CLN_00171,2025-07-29,Gynecology,IN,DrChrono,Solo,Academic Medical Center,305,0,
CLN_00172,2025-02-02,Pediatrics,NY,Epic,Small (2-10),Multi-Specialty Group,2142,0,
CLN_00173,2025-10-04,Dermatology,KY,Epic,Small (2-10),Multi-Specialty Group,1299,0,
CLN_00174,2026-02-28,Endocrinology,MD,DrChrono,Small (2-10),Urgent Care Chain,1164,0,
CLN_00175,2025-10-27,Endocrinology,NY,Epic,Small (2-10),Academic Medical Center,1395,0,
CLN_00176,2025-02-21,Primary Care,UT,Epic,Solo,Hospital System,171,0,
CLN_00177,2024-05-10,Primary Care,IL,Athenahealth,Enterprise (200+),Telehealth-Native,66026,0,
CLN_00178,2024-09-05,Dermatology,AL,Practice Fusion,Small (2-10),Urgent Care Chain,1221,0,
CLN_00179,2024-03-11,Dermatology,IN,Epic,Medium (11-50),FQHC,5195,0,
CLN_00180,2026-01-05,Dermatology,TX,Epic,Small (2-10),Private Practice,2258,0,
CLN_00181,2025-11-24,Orthopedics,MD,eClinicalWorks,Medium (11-50),Telehealth-Native,7397,0,
CLN_00182,2024-04-01,Neurology,KY,Epic,Solo,Multi-Specialty Group,206,0,
CLN_00183,2025-09-21,Urology,WA,Athenahealth,Solo,Academic Medical Center,161,0,
CLN_00184,2024-12-01,Primary Care,CO,Epic,Small (2-10),Telehealth-Native,953,0,
CLN_00185,2024-07-17,Cardiology,WI,Athenahealth,Large (51-200),Urgent Care Chain,23525,0,
CLN_00186,2024-12-18,Cardiology,LA,Cerner,Small (2-10),FQHC,1258,0,
CLN_00187,2025-10-27,Internal Medicine,TN,Athenahealth,Small (2-10),Private Practice,1334,0,
CLN_00188,2025-07-04,Psychiatry,OR,Athenahealth,Large (51-200),Telehealth-Native,72192,0,
CLN_00189,2025-12-21,Primary Care,LA,Cerner,Small (2-10),Urgent Care Chain,1262,0,
CLN_00190,2025-03-21,Dermatology,MI,eClinicalWorks,Enterprise (200+),Multi-Specialty Group,98840,0,
CLN_00191,2024-09-23,Dermatology,NY,eClinicalWorks,Medium (11-50),Academic Medical Center,4197,0,
CLN_00192,2024-05-10,Psychiatry,OR,Cerner,Medium (11-50),Multi-Specialty Group,5474,0,
CLN_00193,2024-12-17,Psychiatry,WA,eClinicalWorks,Solo,Private Practice,210,0,
CLN_00194,2024-08-15,Gynecology,MN,Other,Small (2-10),Academic Medical Center,4544,0,
CLN_00195,2024-11-03,Dermatology,NY,Athenahealth,Small (2-10),Academic Medical Center,338,0,
CLN_00196,2026-02-27,Internal Medicine,MA,Allscripts,Medium (11-50),Telehealth-Native,9085,0,
CLN_00197,2025-05-21,Pediatrics,AZ,Allscripts,Medium (11-50),Telehealth-Native,5224,1,2026-05-30
CLN_00198,2024-02-03,Primary Care,IL,Athenahealth,Small (2-10),Multi-Specialty Group,1235,0,
CLN_00199,2025-10-07,Urology,MD,Allscripts,Small (2-10),Academic Medical Center,2670,0,
CLN_00200,2023-12-19,Internal Medicine,IL,Practice Fusion,Large (51-200),Private Practice,34651,1,2024-09-15
CLN_00201,2024-05-12,Urology,CA,DrChrono,Solo,Hospital System,466,0,
CLN_00202,2025-04-18,Gynecology,OR,Epic,Small (2-10),Academic Medical Center,1219,0,
CLN_00203,2026-01-10,Internal Medicine,MA,Epic,Small (2-10),FQHC,820,0,
CLN_00204,2025-08-21,Primary Care,IN,Epic,Small (2-10),Urgent Care Chain,1616,0,
CLN_00205,2025-10-11,Pediatrics,CA,Cerner,Solo,FQHC,227,0,
CLN_00206,2025-02-24,Psychiatry,SC,Cerner,Solo,Multi-Specialty Group,268,0,
CLN_00207,2024-03-29,Cardiology,SC,Other,Small (2-10),Urgent Care Chain,942,0,
CLN_00208,2026-01-12,Primary Care,NJ,Other,Enterprise (200+),Telehealth-Native,39795,1,2026-10-07
CLN_00209,2024-06-03,Cardiology,IL,None,Large (51-200),Urgent Care Chain,12004,0,
CLN_00210,2025-06-17,Urology,UT,Epic,Small (2-10),Academic Medical Center,1584,0,
CLN_00211,2025-01-16,Psychiatry,CA,DrChrono,Small (2-10),FQHC,2045,0,
CLN_00212,2024-09-03,Endocrinology,MD,Cerner,Medium (11-50),Private Practice,4900,0,
CLN_00213,2026-04-29,Dermatology,MA,Epic,Enterprise (200+),Telehealth-Native,70665,0,
CLN_00214,2025-02-13,Dermatology,MN,Epic,Solo,Hospital System,175,0,
CLN_00215,2025-02-17,Gynecology,MO,Cerner,Small (2-10),FQHC,805,0,
CLN_00216,2025-12-25,Urology,MN,eClinicalWorks,Large (51-200),Private Practice,23131,1,2027-01-07
CLN_00217,2024-08-05,Pediatrics,MN,Epic,Small (2-10),Multi-Specialty Group,1055,0,
CLN_00218,2025-10-19,Orthopedics,PA,Cerner,Small (2-10),Urgent Care Chain,1796,0,
CLN_00219,2024-09-02,Primary Care,UT,Allscripts,Small (2-10),Private Practice,1242,0,
CLN_00220,2025-01-19,Psychiatry,TX,Practice Fusion,Solo,FQHC,159,0,
CLN_00221,2024-02-13,Urology,TX,Epic,Large (51-200),Hospital System,32485,0,
CLN_00222,2025-03-16,Pediatrics,NY,Athenahealth,Medium (11-50),Academic Medical Center,9262,0,
CLN_00223,2026-02-16,Pediatrics,TX,None,Medium (11-50),Hospital System,4537,0,
CLN_00224,2026-05-02,Orthopedics,AL,Epic,Medium (11-50),Urgent Care Chain,16611,0,
CLN_00225,2024-05-23,Primary Care,KY,Cerner,Solo,Urgent Care Chain,70,0,
CLN_00226,2026-04-25,Oncology,NY,eClinicalWorks,Enterprise (200+),Academic Medical Center,60587,0,
CLN_00227,2024-06-21,Pediatrics,NJ,Other,Large (51-200),Private Practice,71598,1,2025-04-12
CLN_00228,2024-06-06,Internal Medicine,IN,Allscripts,Solo,Academic Medical Center,578,0,
CLN_00229,2024-07-07,Primary Care,AZ,Epic,Medium (11-50),Telehealth-Native,4962,0,
CLN_00230,2024-03-27,Urology,AL,Epic,Solo,FQHC,250,0,
CLN_00231,2024-03-21,Primary Care,CO,Allscripts,Solo,Telehealth-Native,204,0,
CLN_00232,2024-09-11,Primary Care,MD,None,Solo,Hospital System,824,0,
CLN_00233,2026-04-17,Oncology,WI,Athenahealth,Solo,Telehealth-Native,214,0,
CLN_00234,2026-02-24,Neurology,MA,Other,Small (2-10),Hospital System,1314,0,
CLN_00235,2024-10-07,Psychiatry,GA,Other,Small (2-10),Urgent Care Chain,649,0,
CLN_00236,2025-09-11,Primary Care,CT,None,Medium (11-50),Academic Medical Center,4701,0,
CLN_00237,2025-02-14,Internal Medicine,MD,Epic,Small (2-10),Hospital System,1601,0,
CLN_00238,2025-03-05,Psychiatry,MO,Epic,Medium (11-50),Private Practice,11245,0,
CLN_00239,2024-07-30,Oncology,KY,Athenahealth,Medium (11-50),Telehealth-Native,5146,0,
CLN_00240,2025-12-25,Oncology,KY,Other,Solo,Multi-Specialty Group,177,0,
CLN_00241,2025-12-22,Cardiology,OK,None,Solo,Private Practice,211,0,
CLN_00242,2024-04-30,Oncology,PA,Athenahealth,Medium (11-50),Academic Medical Center,4535,1,2024-06-28
CLN_00243,2025-11-17,Pediatrics,NJ,Other,Medium (11-50),Multi-Specialty Group,3145,0,
CLN_00244,2024-10-19,Gynecology,MO,Cerner,Small (2-10),Telehealth-Native,2018,0,
CLN_00245,2024-12-02,Psychiatry,TX,Other,Solo,Private Practice,299,0,
CLN_00246,2024-02-16,Orthopedics,CA,Allscripts,Medium (11-50),Hospital System,2956,0,
CLN_00247,2024-08-14,Psychiatry,KY,Allscripts,Medium (11-50),FQHC,20267,0,
CLN_00248,2024-08-21,Cardiology,LA,Epic,Small (2-10),FQHC,643,0,
CLN_00249,2025-10-12,Neurology,OH,Epic,Large (51-200),Hospital System,16988,0,
CLN_00250,2025-10-19,Psychiatry,GA,Epic,Solo,Private Practice,262,0,
CLN_00251,2024-09-22,Psychiatry,MD,Athenahealth,Medium (11-50),Academic Medical Center,4079,0,
CLN_00252,2025-01-30,Orthopedics,IL,Practice Fusion,Small (2-10),Hospital System,941,0,
CLN_00253,2025-11-20,Primary Care,IL,DrChrono,Large (51-200),Private Practice,19507,0,
CLN_00254,2024-04-13,Dermatology,OK,Allscripts,Medium (11-50),FQHC,7484,0,
CLN_00255,2025-05-14,Urology,MA,Practice Fusion,Medium (11-50),Private Practice,4646,0,
CLN_00256,2024-07-21,Urology,SC,Epic,Small (2-10),Academic Medical Center,1396,0,
CLN_00257,2025-05-09,Primary Care,TX,None,Medium (11-50),Telehealth-Native,6874,1,2025-09-08
CLN_00258,2024-07-24,Psychiatry,MI,Practice Fusion,Medium (11-50),FQHC,4398,0,
CLN_00259,2026-04-01,Psychiatry,MI,Other,Medium (11-50),Hospital System,2977,0,
CLN_00260,2024-03-18,Gynecology,CO,None,Small (2-10),Private Practice,1105,0,
CLN_00261,2024-05-05,Internal Medicine,WA,Epic,Small (2-10),Academic Medical Center,783,0,
CLN_00262,2025-08-24,Internal Medicine,PA,Athenahealth,Solo,Multi-Specialty Group,205,0,
CLN_00263,2024-02-26,Cardiology,MD,Other,Solo,Urgent Care Chain,223,0,
CLN_00264,2025-12-26,Primary Care,SC,Practice Fusion,Large (51-200),Urgent Care Chain,80181,0,
CLN_00265,2026-01-09,Internal Medicine,SC,Athenahealth,Small (2-10),Telehealth-Native,1274,0,
CLN_00266,2025-07-26,Orthopedics,GA,Other,Solo,Private Practice,207,0,
CLN_00267,2024-07-11,Oncology,CO,Epic,Small (2-10),Telehealth-Native,463,0,
CLN_00268,2025-09-22,Urology,GA,Other,Small (2-10),Academic Medical Center,1272,0,
CLN_00269,2023-12-28,Neurology,AL,Other,Solo,Academic Medical Center,298,0,
CLN_00270,2024-06-23,Primary Care,NY,None,Small (2-10),Academic Medical Center,444,0,
CLN_00271,2024-12-06,Endocrinology,TN,None,Solo,FQHC,610,0,
CLN_00272,2026-02-03,Psychiatry,CA,None,Solo,FQHC,347,0,
CLN_00273,2025-10-18,Neurology,FL,Allscripts,Solo,Private Practice,557,0,
CLN_00274,2025-04-18,Gynecology,WI,None,Solo,Academic Medical Center,182,0,
CLN_00275,2024-01-07,Primary Care,NJ,Epic,Large (51-200),Hospital System,42990,0,
CLN_00276,2024-03-12,Primary Care,WA,None,Small (2-10),Private Practice,1581,1,2024-05-04
CLN_00277,2024-07-18,Primary Care,NC,Athenahealth,Medium (11-50),FQHC,4402,0,
CLN_00278,2025-05-31,Pediatrics,NY,eClinicalWorks,Medium (11-50),FQHC,5313,0,
CLN_00279,2026-03-04,Psychiatry,CT,Cerner,Small (2-10),Private Practice,3878,1,2026-12-07
CLN_00280,2026-04-06,Oncology,OR,Other,Medium (11-50),Hospital System,2509,0,
CLN_00281,2024-03-23,Orthopedics,FL,Allscripts,Medium (11-50),Private Practice,2621,0,
