clinician_id,snapshot_date,logins_per_week,days_since_last_login,team_members_invited,api_calls_per_week,features_used_count,support_tickets_l90d,video_consults_per_week,async_messages_per_week,days_on_platform
CLN_00076,2026-06-03,4,11,1,0,2,0,4,2,566
CLN_00077,2026-06-03,4,1,2,0,4,0,5,13,873
CLN_00078,2026-06-03,1,2,1,0,2,0,2,6,278
CLN_00079,2026-06-03,3,9,3,0,2,1,3,3,32
CLN_00080,2026-06-03,0,8,0,0,1,0,9,13,315
CLN_00081,2026-06-03,2,5,5,0,1,0,1,7,389
CLN_00082,2026-06-03,5,54,2,0,1,2,24,12,145
CLN_00083,2026-06-03,7,0,0,0,1,0,2,1,435
CLN_00084,2026-06-03,2,2,2,0,2,0,4,4,755
CLN_00085,2026-06-03,2,149,0,0,1,0,20,15,239
CLN_00086,2026-06-03,2,6,10,0,1,0,2,1,613
CLN_00087,2026-06-03,8,14,1,0,1,0,3,56,166
CLN_00088,2026-06-03,6,12,0,0,1,1,18,29,56
CLN_00089,2026-06-03,2,13,2,0,1,0,3,5,521
CLN_00090,2026-06-03,4,74,1,0,4,1,8,7,636
CLN_00091,2026-06-03,4,5,0,185,1,0,17,5,204
CLN_00092,2026-06-03,6,10,3,0,3,0,2,9,375
CLN_00093,2026-06-03,1,98,0,191,3,1,1,3,668
CLN_00094,2026-06-03,2,12,0,183,4,1,5,8,501
CLN_00095,2026-06-03,2,5,1,0,2,0,1,8,846
CLN_00096,2026-06-03,1,2,7,0,1,0,11,38,91
CLN_00097,2026-06-03,4,14,6,0,1,0,4,6,879
CLN_00098,2026-06-03,3,7,0,175,1,0,0,4,112
CLN_00099,2026-06-03,2,10,0,0,2,1,5,2,788
CLN_00100,2026-06-03,2,92,0,0,2,0,2,34,892
CLN_00101,2026-06-03,1,23,1,0,3,0,16,4,58
CLN_00102,2026-06-03,4,14,0,0,5,1,10,18,460
CLN_00103,2026-06-03,5,1,5,0,8,1,12,28,712
CLN_00104,2026-06-03,3,4,0,0,5,1,1,12,654
CLN_00105,2026-06-03,2,10,2,0,3,1,39,36,710
CLN_00106,2026-06-03,4,5,2,0,4,0,2,19,493
CLN_00107,2026-06-03,18,6,0,0,4,0,41,25,378
CLN_00108,2026-06-03,4,6,4,0,5,1,1,5,651
CLN_00109,2026-06-03,2,4,0,0,1,0,2,1,240
CLN_00110,2026-06-03,2,73,0,0,1,0,2,18,557
CLN_00111,2026-06-03,1,12,1,0,4,1,1,1,246
CLN_00112,2026-06-03,4,8,0,179,1,0,5,2,759
CLN_00113,2026-06-03,3,162,2,0,2,1,37,16,456
CLN_00114,2026-06-03,16,1,1,0,1,0,3,11,604
CLN_00115,2026-06-03,5,0,0,0,6,1,9,9,762
CLN_00116,2026-06-03,4,8,2,0,4,1,1,9,555
CLN_00117,2026-06-03,3,4,0,0,3,1,1,2,427
CLN_00118,2026-06-03,1,2,1,0,2,0,0,12,190
CLN_00119,2026-06-03,7,123,0,0,3,1,3,1,163
CLN_00120,2026-06-03,4,5,0,0,1,0,11,15,512
CLN_00121,2026-06-03,4,38,0,0,2,0,1,20,500
CLN_00122,2026-06-03,2,2,1,0,5,0,29,7,188
CLN_00123,2026-06-03,16,12,6,184,3,0,9,4,426
CLN_00124,2026-06-03,1,10,3,0,2,0,3,33,508
CLN_00125,2026-06-03,5,3,1,0,1,0,2,5,773
CLN_00126,2026-06-03,18,9,2,0,3,0,9,6,724
CLN_00127,2026-06-03,2,2,2,0,3,0,0,19,378
CLN_00128,2026-06-03,1,9,0,0,1,0,2,2,828
CLN_00129,2026-06-03,4,56,4,0,5,1,6,6,133
CLN_00130,2026-06-03,2,11,2,0,1,0,8,8,848
CLN_00131,2026-06-03,1,3,0,0,2,1,5,7,447
CLN_00132,2026-06-03,3,34,0,0,4,0,6,3,850
CLN_00133,2026-06-03,1,11,1,0,2,1,0,7,663
CLN_00134,2026-06-03,3,1,0,0,1,1,3,4,118
CLN_00135,2026-06-03,1,12,0,0,3,0,1,8,466
CLN_00136,2026-06-03,10,8,3,0,4,0,1,8,689
CLN_00137,2026-06-03,1,42,0,0,3,0,9,14,672
CLN_00138,2026-06-03,1,28,1,0,2,1,12,11,264
CLN_00139,2026-06-03,7,13,2,0,2,0,1,66,179
CLN_00140,2026-06-03,1,128,1,0,2,0,1,7,800
CLN_00141,2026-06-03,2,7,0,0,2,1,0,20,391
CLN_00142,2026-06-03,6,159,0,0,1,1,1,4,666
CLN_00143,2026-06-03,1,4,0,148,1,0,4,19,510
CLN_00144,2026-06-03,4,117,2,0,2,1,1,5,543
CLN_00145,2026-06-03,5,168,0,0,3,0,0,4,416
CLN_00146,2026-06-03,7,11,1,0,3,1,4,6,322
CLN_00147,2026-06-03,1,10,1,0,3,1,1,7,882
CLN_00148,2026-06-03,1,7,2,0,1,1,23,21,341
CLN_00149,2026-06-03,3,12,0,0,1,0,1,1,273
CLN_00150,2026-06-03,2,14,0,0,1,1,1,5,702
CLN_00151,2026-06-03,6,4,4,0,1,0,2,13,381
CLN_00152,2026-06-03,3,14,0,0,2,1,0,4,471
CLN_00153,2026-06-03,2,9,0,0,3,2,0,1,602
CLN_00154,2026-06-03,2,3,0,0,1,0,3,8,554
CLN_00155,2026-06-03,2,4,2,0,2,1,3,3,386
CLN_00156,2026-06-03,2,12,6,174,1,1,0,4,876
CLN_00157,2026-06-03,18,3,3,0,3,0,4,10,169
CLN_00158,2026-06-03,5,6,4,0,3,0,3,30,149
CLN_00159,2026-06-03,1,5,1,165,1,0,0,3,415
CLN_00160,2026-06-03,9,150,4,0,5,1,8,2,494
CLN_00161,2026-06-03,1,9,0,0,2,0,1,16,675
CLN_00162,2026-06-03,5,36,2,0,1,1,10,10,127
CLN_00163,2026-06-03,7,3,2,0,1,0,6,4,289
CLN_00164,2026-06-03,1,6,1,0,1,0,1,31,649
CLN_00165,2026-06-03,6,102,0,0,2,0,12,17,575
CLN_00166,2026-06-03,3,164,0,189,3,1,2,3,504
CLN_00167,2026-06-03,10,12,4,0,5,0,3,8,292
CLN_00168,2026-06-03,10,4,0,0,1,0,2,18,131
CLN_00169,2026-06-03,2,82,0,0,3,1,9,5,808
CLN_00170,2026-06-03,1,13,1,0,2,0,6,3,849
CLN_00171,2026-06-03,1,13,0,0,2,2,3,9,309
CLN_00172,2026-06-03,1,40,1,0,4,0,3,8,486
CLN_00173,2026-06-03,3,0,0,0,4,0,18,10,242
CLN_00174,2026-06-03,4,61,6,0,1,0,3,3,95
CLN_00175,2026-06-03,4,0,2,0,4,0,1,10,219
CLN_00176,2026-06-03,4,3,0,0,2,1,4,20,467
CLN_00177,2026-06-03,6,4,2,0,7,1,7,15,754
CLN_00178,2026-06-03,10,2,1,0,2,0,1,76,636
CLN_00179,2026-06-03,3,140,0,0,3,1,2,30,814
CLN_00180,2026-06-03,28,5,2,0,1,0,8,4,149
CLN_00181,2026-06-03,6,9,3,0,3,0,0,11,191
CLN_00182,2026-06-03,1,10,0,0,3,1,2,1,793
CLN_00183,2026-06-03,1,7,1,0,2,0,2,3,255
CLN_00184,2026-06-03,4,9,1,0,3,1,7,33,549
CLN_00185,2026-06-03,4,13,1,0,2,0,92,19,686
CLN_00186,2026-06-03,5,12,1,0,2,0,0,4,532
CLN_00187,2026-06-03,4,12,1,0,2,1,2,9,219
CLN_00188,2026-06-03,5,162,0,0,3,0,5,50,334
CLN_00189,2026-06-03,1,161,1,0,4,0,3,7,164
CLN_00190,2026-06-03,2,4,0,0,8,0,2,17,439
CLN_00191,2026-06-03,3,1,0,185,5,1,4,26,618
CLN_00192,2026-06-03,8,8,1,0,1,0,30,29,754
CLN_00193,2026-06-03,2,109,0,0,1,0,1,9,533
CLN_00194,2026-06-03,1,13,1,0,1,1,2,17,657
CLN_00195,2026-06-03,3,6,2,0,4,2,5,8,577
CLN_00196,2026-06-03,5,14,4,0,2,0,19,6,96
CLN_00197,2026-06-03,2,14,3,0,1,0,4,33,378
CLN_00198,2026-06-03,3,33,3,0,2,0,1,9,851
CLN_00199,2026-06-03,3,4,0,0,3,1,1,7,239
CLN_00200,2026-06-03,2,1,0,0,4,0,18,3,897
CLN_00201,2026-06-03,3,5,3,0,1,0,1,9,752
CLN_00202,2026-06-03,5,13,7,0,2,0,3,7,411
CLN_00203,2026-06-03,7,14,2,0,4,1,1,3,144
CLN_00204,2026-06-03,7,82,0,0,1,0,11,2,286
CLN_00205,2026-06-03,1,25,0,0,1,0,1,42,235
CLN_00206,2026-06-03,1,1,0,0,1,3,8,9,464
CLN_00207,2026-06-03,4,160,1,0,2,1,3,3,796
CLN_00208,2026-06-03,9,134,4,0,7,0,5,39,142
CLN_00209,2026-06-03,8,12,6,0,2,0,7,25,730
CLN_00210,2026-06-03,74,6,2,150,2,0,7,15,351
CLN_00211,2026-06-03,5,2,0,0,1,0,3,15,503
CLN_00212,2026-06-03,10,3,1,0,2,0,4,9,638
CLN_00213,2026-06-03,14,121,10,0,4,0,22,33,35
CLN_00214,2026-06-03,3,89,0,0,1,0,0,6,475
CLN_00215,2026-06-03,2,155,1,202,2,0,8,6,471
CLN_00216,2026-06-03,9,6,4,0,7,1,6,7,160
CLN_00217,2026-06-03,1,9,2,0,1,0,11,23,667
CLN_00218,2026-06-03,2,184,1,0,2,0,29,5,227
CLN_00219,2026-06-03,2,4,2,0,2,0,19,10,639
CLN_00220,2026-06-03,2,14,0,0,2,0,5,2,500
CLN_00221,2026-06-03,35,23,15,0,4,0,3,28,841
CLN_00222,2026-06-03,1,1,3,0,2,1,2,9,444
CLN_00223,2026-06-03,7,13,1,0,2,1,2,72,107
CLN_00224,2026-06-03,1,8,1,0,2,0,3,2,32
CLN_00225,2026-06-03,1,12,0,0,2,0,1,1,741
CLN_00226,2026-06-03,15,3,4,0,4,0,40,6,39
CLN_00227,2026-06-03,5,15,4,0,5,0,4,9,712
CLN_00228,2026-06-03,1,11,0,0,2,1,10,2,727
CLN_00229,2026-06-03,2,83,2,169,1,0,3,7,696
CLN_00230,2026-06-03,3,7,0,0,2,0,20,15,798
CLN_00231,2026-06-03,1,5,0,0,1,0,0,13,804
CLN_00232,2026-06-03,2,11,1,0,1,0,9,1,630
CLN_00233,2026-06-03,2,10,0,0,1,2,2,2,47
CLN_00234,2026-06-03,2,18,0,178,2,0,29,17,99
CLN_00235,2026-06-03,17,149,0,0,3,0,1,7,604
CLN_00236,2026-06-03,6,46,3,0,4,1,2,41,265
CLN_00237,2026-06-03,1,5,2,185,1,0,2,9,474
CLN_00238,2026-06-03,4,4,3,0,2,1,9,18,455
CLN_00239,2026-06-03,2,12,5,0,1,0,3,2,673
CLN_00240,2026-06-03,4,141,0,0,1,1,1,2,160
CLN_00241,2026-06-03,1,13,1,0,2,0,3,4,163
CLN_00242,2026-06-03,3,7,4,0,2,0,0,14,764
CLN_00243,2026-06-03,6,3,1,0,2,0,1,26,198
CLN_00244,2026-06-03,6,9,0,0,3,0,2,23,592
CLN_00245,2026-06-03,1,11,0,0,2,0,1,5,548
CLN_00246,2026-06-03,3,4,6,0,2,0,4,10,838
CLN_00247,2026-06-03,2,111,0,0,2,0,1,37,658
CLN_00248,2026-06-03,2,4,2,0,3,1,19,2,651
CLN_00249,2026-06-03,22,3,6,0,2,0,3,272,234
CLN_00250,2026-06-03,3,3,0,0,1,1,1,5,227
CLN_00251,2026-06-03,1,7,3,0,2,1,3,94,619
CLN_00252,2026-06-03,6,10,2,0,1,1,1,10,489
CLN_00253,2026-06-03,30,13,3,0,5,0,54,13,195
CLN_00254,2026-06-03,9,162,0,0,2,0,6,3,781
CLN_00255,2026-06-03,1,12,8,0,4,0,4,7,385
CLN_00256,2026-06-03,2,6,0,0,1,0,25,6,682
CLN_00257,2026-06-03,11,14,0,0,5,1,4,4,390
CLN_00258,2026-06-03,2,4,1,0,4,0,4,2,679
CLN_00259,2026-06-03,5,4,2,0,2,1,6,10,63
CLN_00260,2026-06-03,5,11,2,0,2,0,3,18,807
CLN_00261,2026-06-03,1,4,4,209,5,0,1,12,759
CLN_00262,2026-06-03,2,6,0,0,1,1,1,15,283
CLN_00263,2026-06-03,0,7,1,0,2,0,0,29,828
CLN_00264,2026-06-03,2,5,4,177,2,0,6,10,159
CLN_00265,2026-06-03,2,179,0,0,1,0,4,18,145
CLN_00266,2026-06-03,1,0,3,0,2,0,2,5,312
CLN_00267,2026-06-03,11,10,0,0,3,0,8,58,692
CLN_00268,2026-06-03,1,60,4,0,3,0,0,4,254
CLN_00269,2026-06-03,1,1,2,0,1,1,7,34,888
CLN_00270,2026-06-03,3,5,1,0,3,0,4,3,710
CLN_00271,2026-06-03,7,103,0,0,1,0,3,8,544
CLN_00272,2026-06-03,1,79,0,0,2,0,3,16,120
CLN_00273,2026-06-03,5,2,0,0,1,0,3,3,228
CLN_00274,2026-06-03,2,5,0,0,1,1,4,2,411
CLN_00275,2026-06-03,2,174,1,0,6,0,32,7,878
CLN_00276,2026-06-03,4,5,3,0,1,0,6,12,813
CLN_00277,2026-06-03,4,12,1,0,2,0,5,71,685
CLN_00278,2026-06-03,2,4,1,0,4,0,33,4,368
CLN_00279,2026-06-03,3,12,1,0,2,0,0,3,91
CLN_00280,2026-06-03,3,7,2,0,4,0,0,21,58
CLN_00281,2026-06-03,4,10,1,0,3,0,34,23,802
CLN_00282,2026-06-03,5,14,3,0,3,0,3,27,721
CLN_00283,2026-06-03,11,9,1,0,1,1,2,19,341
CLN_00284,2026-06-03,1,131,3,0,4,0,37,16,895
CLN_00285,2026-06-03,17,178,3,0,1,0,3,4,162
CLN_00286,2026-06-03,1,7,4,0,2,0,2,20,107
CLN_00287,2026-06-03,4,1,6,0,1,0,1,5,383
CLN_00288,2026-06-03,5,13,2,0,3,1,6,8,323
CLN_00289,2026-06-03,4,5,2,160,2,1,2,9,794
CLN_00290,2026-06-03,2,62,0,0,2,1,8,30,857
CLN_00291,2026-06-03,2,14,2,0,1,1,8,0,805
CLN_00292,2026-06-03,1,3,0,0,2,0,8,5,414
CLN_00293,2026-06-03,2,6,1,0,1,0,2,4,676
CLN_00294,2026-06-03,6,7,1,0,1,1,23,1,567
CLN_00295,2026-06-03,4,0,0,0,1,0,4,105,881
CLN_00296,2026-06-03,1,3,0,0,1,0,1,13,306
CLN_00297,2026-06-03,8,170,0,0,3,0,1,3,749
CLN_00298,2026-06-03,4,158,0,0,2,0,19,8,517
CLN_00299,2026-06-03,4,130,0,0,3,0,1,18,890
CLN_00300,2026-06-03,5,6,2,0,1,0,8,5,808
CLN_00301,2026-06-03,1,0,0,0,1,0,1,8,506
CLN_00302,2026-06-03,2,101,8,0,1,0,3,9,417
CLN_00303,2026-06-03,4,3,0,0,2,1,4,25,286
CLN_00304,2026-06-03,10,12,5,0,4,1,6,52,413
CLN_00305,2026-06-03,3,11,1,0,2,2,10,150,525
CLN_00306,2026-06-03,3,172,2,0,1,2,7,11,367
CLN_00307,2026-06-03,11,13,3,0,4,0,4,32,272
CLN_00308,2026-06-03,1,10,0,0,2,0,6,33,837
CLN_00309,2026-06-03,3,164,0,0,2,1,1,20,371
CLN_00310,2026-06-03,4,14,1,0,2,0,34,9,894
CLN_00311,2026-06-03,2,36,3,0,3,0,1,2,340
CLN_00312,2026-06-03,9,12,3,0,3,0,1,3,513
CLN_00313,2026-06-03,10,6,11,0,3,0,4,20,857
CLN_00314,2026-06-03,4,12,1,0,2,0,3,5,330
CLN_00315,2026-06-03,8,7,1,0,1,0,52,11,133
CLN_00316,2026-06-03,5,5,1,0,5,1,4,5,242
CLN_00317,2026-06-03,3,11,1,0,1,0,5,1,542
CLN_00318,2026-06-03,2,0,2,0,3,1,7,1,263
CLN_00319,2026-06-03,5,177,1,0,3,0,3,6,356
CLN_00320,2026-06-03,2,164,1,0,3,3,5,13,560
CLN_00321,2026-06-03,4,168,1,0,3,1,20,10,34
CLN_00322,2026-06-03,8,6,4,0,1,0,2,33,570
CLN_00323,2026-06-03,1,1,3,0,2,0,3,6,124
CLN_00324,2026-06-03,11,0,1,0,2,0,7,5,300
CLN_00325,2026-06-03,1,152,2,0,4,0,1,41,515
CLN_00326,2026-06-03,1,147,2,188,1,0,3,16,55
CLN_00327,2026-06-03,7,3,1,0,3,0,7,144,861
CLN_00328,2026-06-03,4,154,1,0,1,0,3,5,144
CLN_00329,2026-06-03,6,10,5,0,3,0,2,1,616
CLN_00330,2026-06-03,6,152,5,0,5,0,10,6,505
CLN_00331,2026-06-03,5,4,6,0,3,0,4,50,196
CLN_00332,2026-06-03,1,11,4,0,1,0,15,3,367
CLN_00333,2026-06-03,4,12,0,0,4,1,27,14,536
CLN_00334,2026-06-03,2,3,6,178,3,0,1,70,318
CLN_00335,2026-06-03,4,130,0,0,2,0,3,2,602
CLN_00336,2026-06-03,2,1,0,0,2,0,2,1,247
CLN_00337,2026-06-03,1,61,0,0,3,0,1,4,752
CLN_00338,2026-06-03,1,4,0,0,2,0,1,15,80
CLN_00339,2026-06-03,3,22,0,0,1,2,0,8,243
CLN_00340,2026-06-03,1,95,2,0,2,0,9,4,678
CLN_00341,2026-06-03,2,14,3,0,2,1,1,15,443
CLN_00342,2026-06-03,2,51,1,0,2,0,2,4,554
CLN_00343,2026-06-03,3,9,0,0,1,1,1,47,849
CLN_00344,2026-06-03,1,14,0,0,1,0,1,1,123
CLN_00345,2026-06-03,2,9,0,0,2,0,2,13,157
CLN_00346,2026-06-03,4,3,0,160,4,0,0,28,434
CLN_00347,2026-06-03,1,6,0,0,2,1,1,18,748
CLN_00348,2026-06-03,1,10,6,0,4,1,7,122,470
CLN_00349,2026-06-03,2,167,3,0,5,0,6,11,201
CLN_00350,2026-06-03,4,14,0,0,2,2,1,85,750
CLN_00351,2026-06-03,3,0,0,0,2,1,1,1,864
CLN_00352,2026-06-03,10,7,2,175,1,1,4,8,658
CLN_00353,2026-06-03,6,9,7,0,1,1,19,8,99
CLN_00354,2026-06-03,2,3,0,0,1,0,0,7,553
CLN_00355,2026-06-03,3,2,1,0,1,0,1,17,409
CLN_00356,2026-06-03,1,65,2,0,2,0,2,28,269
CLN_00357,2026-06-03,3,81,5,0,1,0,5,10,759
CLN_00358,2026-06-03,2,11,1,0,2,1,3,2,37
CLN_00359,2026-06-03,4,7,2,0,1,0,5,64,415
CLN_00360,2026-06-03,2,140,1,0,2,0,7,9,398
CLN_00361,2026-06-03,4,12,1,187,1,1,4,2,806
CLN_00362,2026-06-03,18,21,1,0,6,0,9,155,835
CLN_00363,2026-06-03,2,10,0,0,3,1,1,20,762
CLN_00364,2026-06-03,3,13,1,0,2,0,3,2,160
CLN_00365,2026-06-03,9,109,4,152,4,0,14,48,615
CLN_00366,2026-06-03,2,76,0,0,2,0,1,57,478
CLN_00367,2026-06-03,4,96,1,0,1,0,3,12,503
CLN_00368,2026-06-03,3,150,1,0,1,0,2,16,497
CLN_00369,2026-06-03,2,11,2,0,3,0,1,4,184
CLN_00370,2026-06-03,1,11,3,0,2,0,1,29,529
CLN_00371,2026-06-03,4,11,1,0,2,0,2,15,598
CLN_00372,2026-06-03,3,3,1,0,1,1,2,17,273
CLN_00373,2026-06-03,7,5,0,0,1,0,4,3,159
CLN_00374,2026-06-03,6,9,1,0,1,0,1,18,253
CLN_00375,2026-06-03,17,170,3,0,1,0,1,17,625
CLN_00376,2026-06-03,1,7,0,0,2,0,1,36,255
CLN_00377,2026-06-03,6,1,2,0,2,0,6,7,386
CLN_00378,2026-06-03,2,2,0,0,2,1,0,9,321
CLN_00379,2026-06-03,32,7,0,0,4,0,5,11,209
CLN_00380,2026-06-03,1,10,2,0,3,0,10,1,768
CLN_00381,2026-06-03,1,12,1,0,2,0,1,10,868
CLN_00382,2026-06-03,1,8,1,0,1,0,3,36,857
CLN_00383,2026-06-03,0,2,1,0,1,2,14,30,53
CLN_00384,2026-06-03,2,1,3,0,4,0,0,3,676
CLN_00385,2026-06-03,1,4,0,0,1,0,2,19,539
CLN_00386,2026-06-03,6,2,3,0,3,0,13,3,874
CLN_00387,2026-06-03,5,7,0,0,2,1,4,11,472
CLN_00388,2026-06-03,14,12,4,0,4,0,0,5,319
CLN_00389,2026-06-03,4,5,1,0,2,1,57,2,97
CLN_00390,2026-06-03,2,69,3,0,4,0,1,28,39
CLN_00391,2026-06-03,1,138,2,0,1,1,0,16,164
CLN_00392,2026-06-03,4,94,6,0,1,1,1,1,363
CLN_00393,2026-06-03,1,4,1,175,1,0,2,15,363
CLN_00394,2026-06-03,29,3,5,0,6,0,1,44,500
CLN_00395,2026-06-03,10,14,5,199,1,0,7,6,871
CLN_00396,2026-06-03,1,0,0,0,1,0,2,8,628
CLN_00397,2026-06-03,1,46,7,181,3,2,5,9,291
CLN_00398,2026-06-03,12,91,1,0,6,0,4,21,69
CLN_00399,2026-06-03,3,4,0,0,2,0,0,25,837
CLN_00400,2026-06-03,8,3,2,0,1,1,5,8,812
CLN_00401,2026-06-03,1,91,7,0,2,0,7,4,822
CLN_00402,2026-06-03,3,1,4,0,1,0,1,23,183
CLN_00403,2026-06-03,3,4,2,0,3,3,2,3,616
CLN_00404,2026-06-03,2,3,1,0,1,0,1,21,273
CLN_00405,2026-06-03,3,72,6,0,7,1,2,21,850
CLN_00406,2026-06-03,3,3,1,0,1,0,3,1,842
CLN_00407,2026-06-03,1,5,5,181,1,1,1,4,121
CLN_00408,2026-06-03,3,0,1,0,3,0,7,51,673
CLN_00409,2026-06-03,4,35,1,0,2,0,8,17,608
CLN_00410,2026-06-03,4,22,0,0,1,0,4,65,62
CLN_00411,2026-06-03,7,3,6,0,3,1,10,21,88
CLN_00412,2026-06-03,1,10,1,0,1,0,6,5,509
CLN_00413,2026-06-03,1,163,0,0,3,0,7,8,336
CLN_00414,2026-06-03,15,7,0,0,2,0,4,55,200
CLN_00415,2026-06-03,3,1,0,0,3,1,1,3,158
CLN_00416,2026-06-03,1,8,0,0,1,0,6,2,800
CLN_00417,2026-06-03,14,9,2,0,2,1,3,4,288
CLN_00418,2026-06-03,3,5,1,0,3,2,28,6,84
CLN_00419,2026-06-03,5,7,1,0,1,0,1,14,337
CLN_00420,2026-06-03,3,169,5,0,2,0,93,10,770
CLN_00421,2026-06-03,11,70,0,0,2,0,3,12,171
CLN_00422,2026-06-03,9,11,0,0,2,1,2,18,477
CLN_00423,2026-06-03,2,8,1,0,2,1,3,8,275
CLN_00424,2026-06-03,6,35,5,0,2,0,3,10,538
CLN_00425,2026-06-03,5,2,11,0,4,0,8,4,725
CLN_00426,2026-06-03,6,47,1,0,2,0,0,4,619
CLN_00427,2026-06-03,1,8,4,0,3,1,2,9,125
CLN_00428,2026-06-03,5,144,2,0,2,2,5,7,85
CLN_00429,2026-06-03,7,11,0,0,1,0,4,4,806
CLN_00430,2026-06-03,1,7,2,0,2,0,2,20,529
CLN_00431,2026-06-03,1,64,3,0,4,0,12,10,855
CLN_00432,2026-06-03,1,14,3,0,4,2,1,4,448
