clinician_id,annual_patient_volume,revenue_band,num_locations,has_billing_system,accepts_insurance,is_group_practice
CLN_00124,1410,$100M+,8,1,0,1
CLN_00125,547,$1M-$5M,3,1,1,1
CLN_00126,296,$1M-$5M,10,1,1,1
CLN_00127,7346,$1M-$5M,1,1,0,1
CLN_00128,348,$5M-$20M,1,0,1,0
CLN_00129,3787,<$1M,1,1,1,1
CLN_00130,720,$1M-$5M,2,1,1,1
CLN_00131,239,$1M-$5M,1,1,1,0
CLN_00132,931,$5M-$20M,3,1,1,1
CLN_00133,1571,$1M-$5M,1,0,1,1
CLN_00134,163,$5M-$20M,1,0,1,0
CLN_00135,1481,$5M-$20M,1,1,1,1
CLN_00136,1510,$5M-$20M,10,1,1,1
CLN_00137,200,<$1M,1,1,1,0
CLN_00138,396,$5M-$20M,1,1,1,0
CLN_00139,5545,$5M-$20M,1,1,1,1
CLN_00140,1495,<$1M,1,1,1,1
CLN_00141,574,$5M-$20M,1,1,0,0
CLN_00142,109,$5M-$20M,1,1,1,0
CLN_00143,1311,$1M-$5M,1,1,1,1
CLN_00144,14061,<$1M,1,0,1,1
CLN_00145,4146,$5M-$20M,3,1,1,1
CLN_00146,5198,$20M-$100M,1,1,1,1
CLN_00147,946,$5M-$20M,1,0,1,1
CLN_00148,1073,$5M-$20M,2,1,1,1
CLN_00149,113,$5M-$20M,1,1,1,0
CLN_00150,322,$5M-$20M,1,1,1,0
CLN_00151,81290,$5M-$20M,3,0,1,1
CLN_00152,256,$1M-$5M,1,1,1,0
CLN_00153,1250,<$1M,1,0,1,1
CLN_00154,321,$5M-$20M,1,0,1,0
CLN_00155,269,<$1M,1,1,1,0
CLN_00156,992,$5M-$20M,1,0,1,1
CLN_00157,4609,<$1M,1,1,1,1
CLN_00158,9015,$5M-$20M,1,1,1,1
CLN_00159,3615,$5M-$20M,1,1,1,1
CLN_00160,25084,$1M-$5M,6,0,0,1
CLN_00161,241,$5M-$20M,1,1,1,0
CLN_00162,1905,<$1M,3,1,1,1
CLN_00163,2608,$5M-$20M,1,1,1,1
CLN_00164,2270,$100M+,2,1,1,1
CLN_00165,964,$1M-$5M,1,0,1,1
CLN_00166,249,<$1M,1,0,1,0
CLN_00167,21486,$1M-$5M,3,1,0,1
CLN_00168,113,$5M-$20M,1,1,1,0
CLN_00169,1425,<$1M,1,0,1,1
CLN_00170,492,$5M-$20M,1,1,1,0
CLN_00171,305,$100M+,1,1,1,0
CLN_00172,2142,$5M-$20M,3,1,0,1
CLN_00173,1299,<$1M,4,0,1,1
CLN_00174,1164,$20M-$100M,1,1,1,1
CLN_00175,1395,$100M+,3,0,1,1
CLN_00176,171,<$1M,1,1,1,0
CLN_00177,66026,$100M+,8,1,0,1
CLN_00178,1221,$20M-$100M,1,1,1,1
CLN_00179,5195,$1M-$5M,1,1,0,1
CLN_00180,2258,<$1M,2,1,0,1
CLN_00181,7397,$5M-$20M,1,1,1,1
CLN_00182,206,$1M-$5M,1,1,1,0
CLN_00183,161,$1M-$5M,1,0,1,0
CLN_00184,953,<$1M,1,1,1,1
CLN_00185,23525,$1M-$5M,1,1,0,1
CLN_00186,1258,$5M-$20M,8,1,1,1
CLN_00187,1334,$20M-$100M,3,1,1,1
CLN_00188,72192,<$1M,5,1,1,1
CLN_00189,1262,<$1M,4,1,1,1
CLN_00190,98840,$5M-$20M,1,1,0,1
CLN_00191,4197,$100M+,1,1,1,1
CLN_00192,5474,<$1M,8,1,1,1
CLN_00193,210,<$1M,1,1,0,0
CLN_00194,4544,$1M-$5M,5,1,1,1
CLN_00195,338,$20M-$100M,2,1,1,1
CLN_00196,9085,$5M-$20M,1,0,1,1
CLN_00197,5224,$1M-$5M,1,1,1,1
CLN_00198,1235,$1M-$5M,3,1,1,1
CLN_00199,2670,$20M-$100M,1,0,1,1
CLN_00200,34651,$100M+,4,1,1,1
CLN_00201,466,$100M+,1,0,1,0
CLN_00202,1219,$1M-$5M,4,0,0,1
CLN_00203,820,$100M+,1,1,1,1
CLN_00204,1616,$1M-$5M,3,1,1,1
CLN_00205,227,$100M+,1,1,1,0
CLN_00206,268,$1M-$5M,1,1,1,0
CLN_00207,942,<$1M,15,1,0,1
CLN_00208,39795,$1M-$5M,2,1,1,1
CLN_00209,12004,$5M-$20M,1,1,0,1
CLN_00210,1584,<$1M,7,0,1,1
CLN_00211,2045,$5M-$20M,1,1,1,1
CLN_00212,4900,$20M-$100M,2,0,1,1
CLN_00213,70665,<$1M,3,0,1,1
CLN_00214,175,$5M-$20M,1,1,1,0
CLN_00215,805,$1M-$5M,2,0,1,1
CLN_00216,23131,$5M-$20M,1,0,1,1
CLN_00217,1055,<$1M,1,0,1,1
CLN_00218,1796,<$1M,8,1,1,1
CLN_00219,1242,$5M-$20M,1,1,1,1
CLN_00220,159,$20M-$100M,1,1,1,0
CLN_00221,32485,$5M-$20M,1,0,1,1
CLN_00222,9262,$1M-$5M,2,0,1,1
CLN_00223,4537,$5M-$20M,2,0,1,1
CLN_00224,16611,<$1M,3,1,0,1
CLN_00225,70,<$1M,1,0,1,0
CLN_00226,60587,$100M+,1,1,1,1
CLN_00227,71598,$1M-$5M,1,1,0,1
CLN_00228,578,$1M-$5M,1,0,1,0
CLN_00229,4962,$20M-$100M,1,1,1,1
CLN_00230,250,$5M-$20M,1,1,1,0
CLN_00231,204,$5M-$20M,1,0,1,0
CLN_00232,824,$20M-$100M,1,1,1,0
CLN_00233,214,$5M-$20M,1,1,1,0
CLN_00234,1314,$1M-$5M,2,1,1,1
CLN_00235,649,<$1M,4,1,1,1
CLN_00236,4701,<$1M,1,1,1,1
CLN_00237,1601,$1M-$5M,9,1,1,1
CLN_00238,11245,<$1M,1,0,1,1
CLN_00239,5146,$1M-$5M,3,1,1,1
CLN_00240,177,<$1M,1,1,1,0
CLN_00241,211,$5M-$20M,1,0,1,0
CLN_00242,4535,<$1M,6,1,1,1
CLN_00243,3145,<$1M,1,1,1,1
CLN_00244,2018,$5M-$20M,6,1,1,1
CLN_00245,299,$5M-$20M,1,0,1,0
CLN_00246,2956,<$1M,1,0,0,1
CLN_00247,20267,$5M-$20M,1,0,0,1
CLN_00248,643,<$1M,1,0,1,1
CLN_00249,16988,$5M-$20M,2,0,1,1
CLN_00250,262,<$1M,1,1,1,0
CLN_00251,4079,$5M-$20M,1,1,1,1
CLN_00252,941,$20M-$100M,5,1,1,1
CLN_00253,19507,$1M-$5M,1,1,0,1
CLN_00254,7484,<$1M,1,1,1,1
CLN_00255,4646,<$1M,2,1,1,1
CLN_00256,1396,$1M-$5M,3,0,1,1
CLN_00257,6874,$20M-$100M,4,1,1,1
CLN_00258,4398,$5M-$20M,1,1,1,1
CLN_00259,2977,$20M-$100M,2,1,1,1
CLN_00260,1105,$20M-$100M,1,1,1,1
CLN_00261,783,$100M+,2,1,1,1
CLN_00262,205,$5M-$20M,1,0,1,0
CLN_00263,223,<$1M,1,1,0,0
CLN_00264,80181,<$1M,1,1,0,1
CLN_00265,1274,$5M-$20M,1,0,1,1
CLN_00266,207,<$1M,1,0,1,0
CLN_00267,463,$20M-$100M,1,1,1,1
CLN_00268,1272,$5M-$20M,1,1,1,1
CLN_00269,298,$20M-$100M,1,0,1,0
CLN_00270,444,$5M-$20M,2,1,1,1
CLN_00271,610,$20M-$100M,1,0,1,0
CLN_00272,347,$20M-$100M,1,1,1,0
CLN_00273,557,$1M-$5M,1,0,1,0
CLN_00274,182,$20M-$100M,1,1,1,0
CLN_00275,42990,$1M-$5M,4,1,1,1
CLN_00276,1581,$20M-$100M,4,1,1,1
CLN_00277,4402,$100M+,9,1,1,1
CLN_00278,5313,$5M-$20M,3,1,1,1
CLN_00279,3878,$5M-$20M,3,0,1,1
CLN_00280,2509,$5M-$20M,1,1,1,1
CLN_00281,2621,$5M-$20M,1,1,0,1
CLN_00282,520,$5M-$20M,1,0,1,1
CLN_00283,562,$100M+,2,0,0,1
CLN_00284,12896,$5M-$20M,1,1,1,1
CLN_00285,3265,<$1M,1,1,1,1
CLN_00286,24294,$1M-$5M,4,1,1,1
CLN_00287,18571,$20M-$100M,1,1,1,1
CLN_00288,518,<$1M,1,1,1,1
CLN_00289,1644,$1M-$5M,5,1,1,1
CLN_00290,3548,$5M-$20M,1,0,1,1
CLN_00291,3908,<$1M,4,1,1,1
CLN_00292,310,$20M-$100M,1,0,0,0
CLN_00293,823,$20M-$100M,1,1,1,1
CLN_00294,1259,$20M-$100M,1,0,1,1
CLN_00295,2157,<$1M,1,1,1,1
CLN_00296,193,$5M-$20M,1,1,0,0
CLN_00297,4950,$20M-$100M,8,1,1,1
CLN_00298,490,$5M-$20M,2,1,1,1
CLN_00299,137,$5M-$20M,1,0,1,0
CLN_00300,1621,$1M-$5M,1,1,1,1
CLN_00301,201,$5M-$20M,1,0,1,0
CLN_00302,4341,$1M-$5M,2,1,1,1
CLN_00303,382,$1M-$5M,1,0,1,0
CLN_00304,62230,$1M-$5M,1,1,1,1
CLN_00305,2241,$5M-$20M,1,0,1,1
CLN_00306,314,$100M+,1,1,1,1
CLN_00307,2300,$1M-$5M,1,1,1,1
CLN_00308,196,$1M-$5M,1,1,1,0
CLN_00309,96,<$1M,1,1,1,0
CLN_00310,22319,<$1M,12,1,1,1
CLN_00311,3219,$1M-$5M,1,1,1,1
CLN_00312,8044,$5M-$20M,1,1,1,1
CLN_00313,29668,$20M-$100M,5,0,1,1
CLN_00314,395,$1M-$5M,1,1,1,0
CLN_00315,1062,$5M-$20M,2,0,1,1
CLN_00316,36281,<$1M,1,0,0,1
CLN_00317,112,<$1M,1,1,1,0
CLN_00318,800,$5M-$20M,2,1,1,1
CLN_00319,21322,$5M-$20M,9,1,1,1
CLN_00320,174,$5M-$20M,1,0,1,0
CLN_00321,1961,$1M-$5M,1,0,1,1
CLN_00322,17623,<$1M,1,1,0,1
CLN_00323,1290,<$1M,1,1,1,1
CLN_00324,158,<$1M,1,1,0,0
CLN_00325,999,<$1M,15,1,1,1
CLN_00326,2836,<$1M,7,0,1,1
CLN_00327,2872,<$1M,3,1,1,1
CLN_00328,118,<$1M,1,0,0,0
CLN_00329,5938,$1M-$5M,1,1,1,1
CLN_00330,16616,<$1M,1,1,1,1
CLN_00331,25619,<$1M,1,1,1,1
CLN_00332,1026,<$1M,1,1,1,1
CLN_00333,3446,$5M-$20M,1,1,1,1
CLN_00334,5680,$1M-$5M,10,1,1,1
CLN_00335,390,$20M-$100M,1,1,1,0
CLN_00336,216,$1M-$5M,1,0,1,0
CLN_00337,151,$1M-$5M,1,1,1,0
CLN_00338,160,<$1M,1,1,0,0
CLN_00339,172,$1M-$5M,1,1,1,0
CLN_00340,129,$1M-$5M,1,0,1,0
CLN_00341,23326,$5M-$20M,1,1,0,1
CLN_00342,208,$20M-$100M,1,1,1,0
CLN_00343,1019,$1M-$5M,1,1,1,1
CLN_00344,162,$5M-$20M,1,1,1,0
CLN_00345,3984,$5M-$20M,3,1,1,1
CLN_00346,5566,$5M-$20M,1,1,1,1
CLN_00347,118,<$1M,1,0,1,0
CLN_00348,84487,$1M-$5M,1,1,1,1
CLN_00349,13288,<$1M,10,1,1,1
CLN_00350,51888,$5M-$20M,2,0,1,1
CLN_00351,154,$1M-$5M,1,1,0,0
CLN_00352,2469,$20M-$100M,2,1,1,1
CLN_00353,910,<$1M,3,1,1,1
CLN_00354,509,$5M-$20M,1,1,1,0
CLN_00355,1569,<$1M,1,1,0,1
CLN_00356,1645,$1M-$5M,1,1,1,1
CLN_00357,1368,$1M-$5M,1,0,0,1
CLN_00358,1355,$1M-$5M,4,0,0,1
CLN_00359,829,$20M-$100M,12,0,0,1
CLN_00360,5673,$1M-$5M,1,1,1,1
CLN_00361,841,$20M-$100M,2,0,1,1
CLN_00362,26114,$1M-$5M,2,1,1,1
CLN_00363,127,$1M-$5M,1,1,1,0
CLN_00364,146,<$1M,1,1,1,0
CLN_00365,88965,$1M-$5M,4,0,0,1
CLN_00366,2644,$1M-$5M,1,1,1,1
CLN_00367,4867,$20M-$100M,2,1,1,1
CLN_00368,563,$1M-$5M,11,1,1,1
CLN_00369,371,<$1M,1,0,1,0
CLN_00370,82,$1M-$5M,1,0,1,0
CLN_00371,6662,$5M-$20M,7,1,1,1
CLN_00372,145,$5M-$20M,1,1,0,0
CLN_00373,183,$1M-$5M,1,1,1,0
CLN_00374,507,$5M-$20M,2,0,1,1
CLN_00375,390,$1M-$5M,6,0,1,1
CLN_00376,385,$1M-$5M,1,1,1,0
CLN_00377,1117,<$1M,1,1,1,1
CLN_00378,319,$5M-$20M,1,1,1,0
CLN_00379,13155,$5M-$20M,2,1,1,1
CLN_00380,1679,$1M-$5M,1,0,1,1
CLN_00381,278,$5M-$20M,1,1,1,0
CLN_00382,332,<$1M,1,0,1,0
CLN_00383,3263,$5M-$20M,1,1,1,1
CLN_00384,498,<$1M,14,0,1,1
CLN_00385,144,$1M-$5M,1,1,1,0
CLN_00386,26962,<$1M,2,0,1,1
CLN_00387,2055,<$1M,1,1,1,1
CLN_00388,1409,$5M-$20M,2,1,0,1
CLN_00389,392,$20M-$100M,1,1,1,0
CLN_00390,18287,$5M-$20M,2,1,1,1
CLN_00391,1327,$1M-$5M,1,1,1,1
CLN_00392,1943,$5M-$20M,2,1,1,1
CLN_00393,317,<$1M,4,1,1,1
CLN_00394,44877,<$1M,9,1,1,1
CLN_00395,2090,$20M-$100M,2,1,1,1
CLN_00396,351,$20M-$100M,1,1,0,0
CLN_00397,4489,$20M-$100M,2,0,1,1
CLN_00398,5706,$20M-$100M,1,0,1,1
CLN_00399,1240,$5M-$20M,1,1,1,1
CLN_00400,1539,<$1M,2,1,1,1
CLN_00401,6104,$5M-$20M,1,0,1,1
CLN_00402,24781,$5M-$20M,1,0,1,1
CLN_00403,1209,$1M-$5M,1,0,1,1
CLN_00404,489,<$1M,1,1,1,0
CLN_00405,47972,$5M-$20M,4,1,1,1
CLN_00406,307,$5M-$20M,1,0,1,0
CLN_00407,2032,$5M-$20M,1,0,1,1
CLN_00408,4755,<$1M,4,1,1,1
CLN_00409,5376,<$1M,1,1,1,1
CLN_00410,1372,<$1M,1,0,1,1
CLN_00411,10830,$5M-$20M,2,1,1,1
CLN_00412,193,$5M-$20M,1,1,1,0
CLN_00413,1140,$5M-$20M,1,0,1,1
CLN_00414,12699,<$1M,7,0,1,1
CLN_00415,139,<$1M,1,1,1,0
CLN_00416,215,$20M-$100M,1,1,1,0
CLN_00417,8964,<$1M,5,1,1,1
CLN_00418,648,$5M-$20M,2,1,1,1
CLN_00419,117,<$1M,1,1,1,0
CLN_00420,580,$5M-$20M,1,1,1,1
CLN_00421,84,$5M-$20M,1,0,0,0
CLN_00422,138,<$1M,1,1,1,0
CLN_00423,337,$5M-$20M,1,1,1,0
CLN_00424,1703,<$1M,1,1,1,1
CLN_00425,1064,$1M-$5M,7,1,1,1
CLN_00426,187,$1M-$5M,1,1,1,0
CLN_00427,1303,$100M+,1,1,1,1
CLN_00428,1066,$5M-$20M,3,1,1,1
CLN_00429,1569,$1M-$5M,1,0,1,1
CLN_00430,1776,$1M-$5M,1,1,1,1
CLN_00431,5194,$5M-$20M,1,1,1,1
CLN_00432,8425,$20M-$100M,1,0,1,1
CLN_00433,107,<$1M,1,1,1,0
CLN_00434,1215,<$1M,11,1,1,1
CLN_00435,39317,$20M-$100M,3,0,0,1
CLN_00436,21960,$5M-$20M,6,1,1,1
CLN_00437,675,$20M-$100M,1,1,1,1
CLN_00438,3466,$1M-$5M,2,0,1,1
CLN_00439,31916,<$1M,3,1,0,1
CLN_00440,13987,$1M-$5M,1,0,0,1
CLN_00441,5539,$5M-$20M,7,1,1,1
CLN_00442,45381,$20M-$100M,1,1,1,1
CLN_00443,157,<$1M,1,1,1,0
CLN_00444,6994,$1M-$5M,14,1,1,1
CLN_00445,122,$100M+,1,1,1,0
CLN_00446,1791,$5M-$20M,4,0,1,1
CLN_00447,111,<$1M,1,1,1,0
CLN_00448,1187,$5M-$20M,1,1,1,1
CLN_00449,114,<$1M,1,1,1,0
CLN_00450,1940,<$1M,1,1,0,1
CLN_00451,121300,<$1M,10,1,1,1
CLN_00452,10944,<$1M,1,1,1,1
CLN_00453,423,$20M-$100M,1,1,1,0
CLN_00454,250,<$1M,1,1,1,0
CLN_00455,4507,<$1M,14,1,1,1
CLN_00456,6040,$1M-$5M,3,1,1,1
CLN_00457,16567,$1M-$5M,2,1,0,1
CLN_00458,11843,<$1M,1,0,1,1
CLN_00459,348,$1M-$5M,1,1,1,0
CLN_00460,2396,$5M-$20M,1,1,1,1
CLN_00461,39398,$100M+,2,0,1,1
CLN_00462,180,<$1M,1,1,1,0
CLN_00463,2117,<$1M,1,0,1,1
CLN_00464,396,$100M+,1,1,1,0
CLN_00465,642,$5M-$20M,5,1,1,1
CLN_00466,38775,$1M-$5M,1,1,0,1
CLN_00467,4455,$100M+,1,1,1,1
CLN_00468,357,$20M-$100M,3,1,1,1
CLN_00469,1005,<$1M,9,0,1,1
CLN_00470,3680,$20M-$100M,1,1,1,1
CLN_00471,6054,$1M-$5M,1,1,1,1
CLN_00472,7392,$1M-$5M,1,1,1,1
CLN_00473,250,$5M-$20M,1,0,0,0
CLN_00474,948,$20M-$100M,1,0,0,1
CLN_00475,348,$100M+,1,0,1,0
CLN_00476,537,$1M-$5M,4,0,1,1
CLN_00477,2780,$20M-$100M,3,1,0,1
CLN_00478,12861,$20M-$100M,1,1,1,1
CLN_00479,5976,$5M-$20M,1,0,0,1
CLN_00480,1515,$1M-$5M,1,1,1,1
CLN_00481,336025,$1M-$5M,8,1,1,1
CLN_00482,869,$1M-$5M,6,1,1,1
CLN_00483,271,$20M-$100M,1,1,1,0
CLN_00484,6784,$1M-$5M,2,1,1,1
CLN_00485,703,<$1M,1,1,0,1
CLN_00486,131,$5M-$20M,1,0,0,0
CLN_00487,32906,$1M-$5M,1,1,1,1
CLN_00488,340,$1M-$5M,1,1,1,0
CLN_00489,6407,$1M-$5M,1,1,0,1
CLN_00490,1011,$1M-$5M,1,1,1,1
CLN_00491,235,$1M-$5M,1,1,1,0
CLN_00492,167,$5M-$20M,1,1,1,0
CLN_00493,179,$1M-$5M,1,1,1,0
CLN_00494,624,$5M-$20M,1,1,1,0
CLN_00495,5556,$1M-$5M,1,1,1,1
CLN_00496,21670,$100M+,4,1,0,1
CLN_00497,591,$1M-$5M,4,0,1,1
CLN_00498,10640,$5M-$20M,1,0,1,1
CLN_00499,2983,$20M-$100M,6,1,1,1
CLN_00500,733,$5M-$20M,2,1,1,1
CLN_00501,13295,$5M-$20M,3,1,1,1
CLN_00502,227,<$1M,1,1,0,0
CLN_00503,1558,$5M-$20M,2,1,1,1
CLN_00504,20764,$5M-$20M,7,1,1,1
CLN_00505,1230,<$1M,1,1,1,1
CLN_00506,201,$5M-$20M,1,1,1,0
CLN_00507,737,$1M-$5M,2,0,1,1
CLN_00508,3582,$5M-$20M,2,1,1,1
CLN_00509,1379,$20M-$100M,1,1,0,1
CLN_00510,425,$5M-$20M,1,1,1,0
CLN_00511,571,$5M-$20M,1,1,0,1
CLN_00512,532,<$1M,1,1,0,1
CLN_00513,1010,<$1M,6,1,1,1
CLN_00514,3679,<$1M,1,1,1,1
CLN_00515,2001,<$1M,3,0,1,1
CLN_00516,46203,$100M+,1,1,1,1
CLN_00517,1749,$5M-$20M,1,1,1,1
CLN_00518,57,$1M-$5M,1,1,1,0
CLN_00519,1611,$20M-$100M,1,1,1,1
CLN_00520,240,$5M-$20M,1,0,0,0
CLN_00521,8086,$1M-$5M,4,1,1,1
CLN_00522,6020,<$1M,2,1,1,1
CLN_00523,11575,<$1M,3,1,1,1
CLN_00524,300,$1M-$5M,1,1,1,0
CLN_00525,258,<$1M,1,0,1,0
CLN_00526,5063,$5M-$20M,7,0,1,1
CLN_00527,217,<$1M,1,1,1,0
CLN_00528,1099,<$1M,3,1,1,1
CLN_00529,2242,$5M-$20M,1,0,0,1
CLN_00530,210,$20M-$100M,1,1,1,0
CLN_00531,483,<$1M,1,1,1,1
CLN_00532,4102,$1M-$5M,4,0,1,1
CLN_00533,394,$1M-$5M,1,1,0,0
CLN_00534,75,$20M-$100M,1,1,1,0
CLN_00535,1046,$100M+,1,1,1,1
CLN_00536,1267,$5M-$20M,12,1,1,1
CLN_00537,2763,<$1M,1,1,0,1
CLN_00538,170,<$1M,1,1,0,0
CLN_00539,13136,<$1M,2,1,0,1
CLN_00540,1279,$5M-$20M,8,1,1,1
CLN_00541,6507,<$1M,19,0,1,1
CLN_00542,290,$5M-$20M,1,1,1,0
CLN_00543,181454,$20M-$100M,1,1,1,1
CLN_00544,1486,$1M-$5M,6,0,1,1
CLN_00545,1235,<$1M,1,1,1,1
CLN_00546,635,$20M-$100M,1,1,1,1
CLN_00547,376,$5M-$20M,1,1,1,0
CLN_00548,2250,$5M-$20M,5,1,1,1
CLN_00549,527,$1M-$5M,1,1,1,0
CLN_00550,23675,$100M+,1,1,1,1
CLN_00551,269,<$1M,1,1,1,0
CLN_00552,1536,$1M-$5M,1,1,1,1
CLN_00553,188,$5M-$20M,1,1,1,0
CLN_00554,14482,$20M-$100M,5,0,1,1
CLN_00555,329,$5M-$20M,1,0,1,0
CLN_00556,6688,$1M-$5M,10,1,1,1
CLN_00557,307,$1M-$5M,1,1,1,0
CLN_00558,982,$1M-$5M,1,0,1,1
CLN_00559,10300,<$1M,4,1,0,1
CLN_00560,329,$5M-$20M,1,1,0,0
CLN_00561,290,<$1M,1,1,1,0
CLN_00562,49922,$5M-$20M,1,1,1,1
CLN_00563,676,<$1M,1,1,1,0
